Parameter Value[Column model]	Parameter Value[Column model] - Upper Case	IGNORE	COLUMN_DESCRIPTION	Min Peak Width	Max Peak Width	Center
ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)	ACQUITY UPLC HSS T3 (1.8 µM, 2.1 MM X 100 MM; WATERS)	0	100 mm length, UPLC	5	20	2
ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)	ACQUITY UPLC HSS T3 (1.8 µM, 2.1 MM X 150 MM; WATERS)	0	150 mm length, UPLC	5	20	2
ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 30 mm; Waters)	ACQUITY UPLC HSS T3 (1.8 µM, 2.1 MM X 30 MM; WATERS)	0	50 mm length, UPLC	5	20	1
ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 50 mm; Waters)	ACQUITY UPLC HSS T3 (1.8 µM, 2.1 MM X 50 MM; WATERS)	0	50 mm length, UPLC	5	20	1
ACQUITY UPLC HSS T3 (1.8 µm, 3 mm x 150 mm; Waters)	ACQUITY UPLC HSS T3 (1.8 µM, 3 MM X 150 MM; WATERS)	0	150 mm length, UPLC	5	20	2
ACQUITY UPLC HSS T3 (3 µm, 2.1 mm x 150 mm; Waters)	ACQUITY UPLC HSS T3 (3 µM, 2.1 MM X 150 MM; WATERS)	0	150 mm length, UPLC	5	20	2
ACQUITY UPLC Protein BEH C4 (1.7 µm, 1 mm x 100 mm; Waters)	ACQUITY UPLC PROTEIN BEH C4 (1.7 µM, 1 MM X 100 MM; WATERS)	0	100 mm length, UPLC	5	20	2
Alltima HP C18 (3 µm, 2.1 mm x 150 mm; Alltech)	ALLTIMA HP C18 (3 µM, 2.1 MM X 150 MM; ALLTECH)	0	150 mm length, UPLC	5	20	2
AQUASIL C18 (5 µm, 2.1 mm x 50 mm; Thermo Scientific)	AQUASIL C18 (5 µM, 2.1 MM X 50 MM; THERMO SCIENTIFIC)	0	150 mm length, HPLC	8	80	3
Ascentis Express C18 (2.7 µm, 0.1 mm x 300 mm; In-house Supelco)	ASCENTIS EXPRESS C18 (2.7 µM, 0.1 MM X 300 MM; IN-HOUSE SUPELCO)	0	150 mm length, HPLC	8	80	3
Ascentis Express C18 (2.7 µm, 2.1 mm x 100 mm; Sigma-Aldrich)	ASCENTIS EXPRESS C18 (2.7 µM, 2.1 MM X 100 MM; SIGMA-ALDRICH)	0	100 mm length, UPLC	5	20	2
Ascentis Express C18 (2.7 µm, 2.1 mm x 150 mm; Sigma-Aldrich)	ASCENTIS EXPRESS C18 (2.7 µM, 2.1 MM X 150 MM; SIGMA-ALDRICH)	0	150 mm length, UPLC	5	20	2
Ascentis Express C18 (2.7 µm, 2.1 mm x 150 mm; Supelco)	ASCENTIS EXPRESS C18 (2.7 µM, 2.1 MM X 150 MM; SUPELCO)	0	150 mm length, UPLC	5	20	2
Ascentis Express C18 (2.7 µm, 2.1 mm x 50 mm; Sigma-Aldrich)	ASCENTIS EXPRESS C18 (2.7 µM, 2.1 MM X 50 MM; SIGMA-ALDRICH)	0	50 mm length, UPLC	5	20	1
Ascentis Express C18 (2.7 µm, 4.6 mm x 100 mm; Supelco)	ASCENTIS EXPRESS C18 (2.7 µM, 4.6 MM X 100 MM; SUPELCO)	0	100 mm length, UPLC	5	20	2
Ascentis Express C8 (2.7 µm, 2.1 mm x 50 mm; Sigma-Aldrich)	ASCENTIS EXPRESS C8 (2.7 µM, 2.1 MM X 50 MM; SIGMA-ALDRICH)	0	50 mm length, UPLC	5	20	1
Ascentis Express F5 90 ≈ (2.7 µm, 2.1 mm x 500 mm; Merck)	ASCENTIS EXPRESS F5 90 ≈ (2.7 µM, 2.1 MM X 500 MM; MERCK)	0	150 mm length, UPLC	5	20	2
Atlantis Silica HILIC (3 µm, 2.1 mm x 150 mm; Waters)	ATLANTIS SILICA HILIC (3 µM, 2.1 MM X 150 MM; WATERS)	0	150 mm length, UPLC	5	20	2
Atlantis T3 (5 µm, 4.6 mm x 150 mm; Waters)	ATLANTIS T3 (5 µM, 4.6 MM X 150 MM; WATERS)	0	150 mm length, HPLC	8	80	3
Betasil C1 (5 µm, 2.1 mm x 50 mm; Thermo Scientific)	BETASIL C1 (5 µM, 2.1 MM X 50 MM; THERMO SCIENTIFIC)	0	150 mm length, HPLC	8	80	3
BETASIL Diol (5 µm, 2.1 mm x 150 mm; Thermo Scientific)	BETASIL DIOL (5 µM, 2.1 MM X 150 MM; THERMO SCIENTIFIC)	0	150 mm length, HPLC	8	80	3
